name,latitude,longitude,tag
61 Ward Office,19.1510343,72.8343732,office:government
A.M. High School & Junior College,19.1855632,72.8185528,office:educational_institution
AMAN,19.0524549,72.9185421,amenity:hospital
Aarey,19.1693242,72.8587918,railway:station
Aarey JVLR,19.1304284,72.8843492,railway:station
Abu Village,19.1639912,72.8888355,tourism:attraction
Acharya Atre Chowk,18.9978202,72.8177201,railway:station
Acharya Atre Nagar,19.0236472,72.8637994,railway:station
Ahilya Building,18.8988449,72.813845,office:government
Airoli,19.1585231,72.9994023,railway:station
Airport Authority of India Offices,19.1084184,72.8565724,office:government
Airport Road,19.110135,72.8741686,railway:station
Ajanta,19.0886,72.8275,tourism:hotel
Akurli,19.1981585,72.8604905,railway:station
Alankar Classes Nilesh Sir,19.1194123,72.8412822,office:educational_institution
Allen Institute,19.1702113,72.9534085,office:educational_institution
Ambassador,19.103681,72.8754749,tourism:hotel
Ambedkar Nagar,19.0015921,72.8442272,railway:station
Ameeta patil  Nursing Home,19.0622247,72.8997288,amenity:hospital
Amphitheatre,19.0425669,72.8188717,tourism:attraction
Amrapali Arcade,19.2228984,72.9667815,amenity:marketplace
Anand Nagar,19.2572087,72.8663486,railway:station
Andheri,19.1196976,72.8464205,railway:station
Andheri (West),19.1291337,72.8314307,railway:station
Andheri L1,19.1205638,72.8488433,railway:station
Andheri Market,19.1232654,72.8459141,amenity:marketplace
Andheri Tahsildar Office,19.1247344,72.8400558,office:government
Anil Thakur Guest House,19.1760671,72.7966333,tourism:hotel
Anita Mahal,19.0693839,72.8836606,tourism:hotel
"Ankit Fracture, Maternity and Surgical Hospital",19.2270454,72.8605924,amenity:hospital
Antop Hill,19.0301805,72.8669504,railway:station
Asalpha,19.0964224,72.8948783,railway:station
Assistant Residential Engineer Mumbai Port Trust Office,18.9133365,72.8234743,office:government
Atlantic,19.0870126,72.8274729,tourism:hotel
Atlas Skill Tech University,19.071018,72.8758648,office:educational_institution
Aurobindo,19.0759804,72.8990388,office:educational_institution
Automotivation,19.1731891,72.8486507,office:educational_institution
Azad Nagar,19.1269102,72.8376484,railway:station
B.R. Ambedkar park,19.1651808,72.847179,leisure:park
BIORIIDL,19.0750979,72.8987273,office:educational_institution
BMC G South Ward Office,19.0083276,72.8304787,office:government
BMC M Ward Office,19.061105,72.8991057,office:government
BMC Office,19.04336,72.8656281,office:government
BMC Park,19.2180094,72.8432484,leisure:park
BMC S Ward,19.1360309,72.9295794,office:government
BMC S Ward Municipal Chowky,19.1625905,72.9379174,office:government
BMC Ward Office,19.0299554,72.854268,office:government
BSNL,19.0448287,72.9175244,railway:station
Babul,19.1217301,72.8318524,tourism:hotel
Bahmandai Municipal Corporat,19.0222734,72.8666106,office:government
Bandra,19.0549792,72.8402203,railway:station
Bandra Colony,19.0699627,72.8493601,railway:station
Bandra Fort Gate,19.042924,72.8185972,tourism:attraction
Bandra Kurla Complex (BKC),19.0606629,72.8546797,railway:station
Bandra Market,19.0537188,72.8329159,amenity:marketplace
Bandra Terminus,19.0627041,72.841303,railway:station
Banganga Tank,18.9454866,72.7936879,tourism:attraction
Bangur Nagar,19.1624723,72.8348708,railway:station
Bayside Mall,18.9761191,72.8126014,shop:mall
Bethany Hospital,19.2198203,72.9618661,amenity:hospital
Bhakti Park,19.028972,72.8775722,railway:station
Bhandup,19.1438684,72.9384327,railway:station
Bharat Petroleum,19.0352839,72.8955553,railway:station
Bharatiya Vidya Bhavan,18.9574378,72.810835,office:educational_institution
Bhaskarachrya,19.0727007,72.9006174,office:educational_institution
Bhattipada Market,19.150165,72.936597,amenity:marketplace
"Big Bazzar, Kandivali",19.1900395,72.8591049,shop:mall
Big Centre,19.2681353,72.9650168,shop:mall
Blue Ballerina,19.1622,72.785,tourism:hotel
"Bombay Cambrige Schoool, Amboli",19.1277074,72.8404126,office:educational_institution
Borivali,19.229068,72.8573628,railway:station
Borivali (West),19.2313925,72.8408607,railway:station
Borivali Municpal Market,19.2301091,72.8557584,amenity:marketplace
Borivali West,19.2298129,72.8471376,amenity:hospital
Boulevard,19.2118699,72.9850732,shop:mall
Bramhand Phase 5,19.24472,72.9836332,leisure:park
Brand Factory Vikhroli,19.1210015,72.9266646,shop:mall
Brihanmumbai Municipal Corporation Office of the Deputy Commissioner of Encroachment Removal,18.9842938,72.8381104,office:government
Bureau of Civil Aviation Security,19.1083812,72.8568527,office:government
Byculla,18.9766219,72.8327936,railway:station
CSMI Airport Domestic T1,19.093899,72.8535765,railway:station
CSMI Airport International T2,19.1023335,72.8744692,railway:station
Cannon 1,18.9620892,72.9285928,tourism:attraction
Cannon 2,18.9602159,72.9288297,tourism:attraction
Carlton Hotel,18.9224055,72.8326985,tourism:hotel
Castella de Aguada,19.0419788,72.8184995,tourism:attraction
Cecil,18.958401,72.811296,tourism:hotel
Central Lawn,18.9696231,72.8071474,leisure:park
Central Pump House,18.906564,72.8064378,office:government
Centre For Development Of Advanced Computing,19.1147399,72.8339566,office:government
Chakala - J.B. Nagar,19.1120359,72.8676218,railway:station
"Chandraganga Hospital, Mulund",19.1760293,72.9618357,amenity:hospital
Charkop Market,19.2155689,72.8286214,amenity:marketplace
Charni Road,18.9518437,72.8182401,railway:station
Chembur,19.0612128,72.8975909,railway:station
Chhatrapati Shivaji Maharaj Terminus,18.9398631,72.8354028,tourism:attraction
Chhatrapati Shivaji Maharaj Terminus,18.9408329,72.831861,railway:station
Chhatrapati Shivaji Municipal Market,19.0196408,72.841594,amenity:marketplace
Chief defence of municipal corporation,19.1302903,72.9381689,office:government
Chinchpokli,18.9871984,72.8326716,railway:station
Chuna Bhatti,19.0517703,72.8690974,railway:station
Churchgate,18.9354797,72.8271741,railway:station
Citi Mall,19.138773,72.8313117,shop:mall
Citizen Hotel,19.095697,72.8269623,tourism:hotel
City Centre Mall,19.1623421,72.8457567,shop:mall
Classic,19.0835527,72.8384747,tourism:hotel
Collector office ( churgate),18.9326905,72.8274129,office:government
